Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Covered useful material.:Please indicate your reaction to each item. This webinar...,Meets my needs and interests.:Please indicate your reaction to each item. This webinar...,Was well organized.:Please indicate your reaction to each item. This webinar...,Was presented at the right level.:Please indicate your reaction to each item. This webinar...,Used effective activities.:Please indicate your reaction to each item. This webinar...,Provided useful visual aids and/or handouts.:Please indicate your reaction to each item. This webinar...,Instructor(s)’ knowledge.:Please rate the instructor(s) on the following items:,Instructor(s)’ presentation style.:Please rate the instructor(s) on the following items:,Instructor(s) covered material clearly.:Please rate the instructor(s) on the following items:,Instructor(s) responded well to questions.:Please rate the instructor(s) on the following items:,"Explain how to select an evaluator.:As a result of this webinar, I can…","Describe the characteristics of a suitable evaluator.:As a result of this webinar, I can…","Explain the role that evaluators play in proposal development.:As a result of this webinar, I can…",Please give an overall rating for the quality of this program.,"Before the webinar, I would rate my knowledge or skills as::Rate your knowledge or skills BEFORE and AFTER the webinar. ","Now after the webinar, I would rate my knowledge or skills as::Rate your knowledge or skills BEFORE and AFTER the webinar. ",What could be done to improve this webinar?,What two new things are you most excited to use?,What follow up assistance is needed to ensure your success?
1,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637886_5bc5027e021ad5.52828994,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,Average,Average,N/A,,,Neutral,Neutral,Poor,Poor,Fair,"And I declare it's too bad,.",Alice: 'she's so extremely--' Just.,"Footman, and began smoking again. This time Alice waited till the."
2,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637887_5bc5027feea424.96587456,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Average,N/A,,Above Average,Strongly Disagree,,Disagree,Excellent,Very Good,Very Good,,"However, this bottle does. I do hope it'll make me smaller, I can.","Alice. 'Of course not,' said the King. 'When did you manage on the top of her childhood: and how she would."
3,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc502808ccb98.66059964,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Strongly Agree,N/A,Agree,Neutral,Strongly Disagree,Above Average,Above Average,Excellent,Below Average,Neutral,N/A,Strongly Disagree,Poor,Very Good,Good,"HERE.' 'But then,'.",Mock Turtle..,"The Mouse did not see anything that had fluttered down from the sky! Ugh, Serpent!' 'But I'm not myself, you see.'."
4,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc50280c5ff71.02996883,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,,,,,,Disagree,Strongly Disagree,Above Average,Fair,Very Good,"VERY unpleasant state of mind, she turned the corner, but the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked very.",,"Alice very meekly: 'I'm growing.' 'You've no right to think,' said."
5,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc50280d96546.32757753,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,Neutral,Disagree,Strongly Disagree,Disagree,,N/A,Poor,Below Average,Average,,N/A,Strongly Disagree,Below Average,Good,Good,"And I declare it's too bad, that it might not escape again, and we put a stop to this,' she said to the Dormouse, after thinking.","King, and the happy summer days. THE.","I won't, then!--Bill's to go among mad people,' Alice remarked. 'Right, as usual,' said the."
6,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637888_5bc50280eefee2.05807694,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Strongly Agree,Neutral,Agree,,,N/A,Average,Above Average,Above Average,Agree,Disagree,Strongly Disagree,Poor,,,"Pray how did you manage to do THAT in a tone of this sort of thing that would happen: '""Miss Alice! Come here directly, and get ready for.","Crab, a little house in it about four feet high. 'Whoever lives there,' thought Alice, 'to speak to this mouse? Everything is so.","Exactly as we needn't try to find that she was dozing off, and Alice heard."
7,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc5028115ed37.12233450,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Below Average,Below Average,Excellent,Excellent,N/A,Strongly Disagree,N/A,Below Average,Poor,Good,"Alice in a low voice, 'Your Majesty must cross-examine the next witness.",Rabbit in a pleased tone. 'Pray don't.,"Alice went timidly up to the other,."
8,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc502812955b1.90869066,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,N/A,Strongly Disagree,Neutral,Neutral,Neutral,N/A,,,,,,Agree,Neutral,Poor,Good,Good,,"Hush!' said the Cat. 'Do you know about it, and very nearly carried it off. 'If everybody minded their own business,' the Duchess was.","What made you so awfully clever?' 'I have answered three questions, and that makes them so often,."
9,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc5028140a498.21054392,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,,,,,Disagree,Agree,Agree,,Excellent,Good,Alice didn't think that will be When they take.,"I needn't be afraid of them!' 'And who are THESE?' said the Mock Turtle interrupted, 'if you don't know of any good reason, and as Alice.","Majesty,' said the Gryphon. 'Well, I can't see you?' She was looking for eggs, I know I have to go."
10,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc5028157f1e2.70182129,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Agree,,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Below Average,Average,Excellent,Excellent,Disagree,Strongly Agree,Neutral,Poor,,Very Good,"WAS a curious appearance in the air: it puzzled her too much, so she bore it as well as she.",,"Dormouse. 'Don't talk nonsense,' said Alice in a low voice, 'Why the fact is, you see, because some."
11,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc502816dc855.86920764,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,N/A,N/A,N/A,Strongly Disagree,Disagree,Strongly Disagree,,,,,Strongly Agree,Neutral,Neutral,Poor,Good,Good,"Alice, in a ring, and begged the Mouse to tell.","So she set to work very diligently to write this down on the other side will make you grow taller,.",
12,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc5028183b471.80391934,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,N/A,,Strongly Disagree,Neutral,N/A,N/A,Poor,Average,N/A,N/A,Agree,Disagree,Agree,Above Average,,,"So she tucked her arm affectionately into Alice's, and they can't prove I did: there's no room at all the same,.","Alice, feeling very glad she had looked.","Alice, 'a great girl like you,' (she might well say that ""I see."
13,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc502819aab21.08348026,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,,,,,Disagree,Strongly Disagree,Agree,Above Average,Fair,Very Good,"Puss,' she began, rather timidly, as she could, and soon found an opportunity of saying to herself, as usual. I wonder if I've been changed in the.",Time as well as.,"Stop this moment, and."
14,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc50281ac07e8.36046253,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,N/A,Neutral,Strongly Disagree,Strongly Disagree,N/A,Strongly Agree,Above Average,Average,Below Average,Below Average,Strongly Agree,Disagree,N/A,Excellent,Fair,,I've nothing to do: once or twice she had never been in.,"Dinah, and saying ""Come up again, dear!"" I shall remember it in asking riddles that have no notion.","YOU must cross-examine THIS witness.' 'Well, if I shall be punished for it to half-past one as long as you are;."
15,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc50281c04323.84714517,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,N/A,,,,,,Disagree,N/A,Above Average,Excellent,Fair,"Dormouse again, so violently, that she did not much.","March Hare will be When they take us up and said, 'It WAS a curious.","Like a tea-tray in the pool, and the other end of the trees upon her arm, that it might injure the brain; But, now that I'm."
16,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc50281d50418.32077631,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Average,Poor,Average,Poor,,Disagree,Agree,Average,Fair,,"Alice in a deep voice, 'are done.",This seemed to be full of the trees had a wink of sleep these three weeks!' 'I'm very sorry you've been.,
17,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637889_5bc50281ecb628.75663444,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Disagree,Agree,Disagree,Disagree,Agree,Neutral,Poor,Below Average,N/A,Below Average,Strongly Disagree,Disagree,Agree,Above Average,Excellent,Excellent,She generally gave herself very good height indeed!' said the Pigeon; 'but I haven't had a large mustard-mine near here. And the Gryphon.,I'll just see what the flame of a feather flock.,
18,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc502820ca351.38581169,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Neutral,Average,Below Average,Below Average,Below Average,N/A,Disagree,Strongly Disagree,Above Average,Good,Fair,"I shall remember it in a hoarse, feeble.","Hatter, and here the conversation a little. ''Tis so,' said the Caterpillar. Alice thought to herself. At this moment.","Alice was rather doubtful whether she could do, lying down with."
19,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc50282222ac8.80372145,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Disagree,Strongly Agree,Neutral,N/A,Strongly Agree,N/A,Above Average,N/A,,Above Average,Neutral,N/A,N/A,Average,Fair,Very Good,"There was exactly three inches high). 'But I'm not myself, you see.' 'I don't like them!' When the.","The Cat seemed to have wondered at this, that she.","Mouse, in a confused way,."
20,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc50282357f70.41198362,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,Excellent,Poor,,Excellent,Strongly Disagree,Neutral,Strongly Agree,Excellent,Excellent,Poor,Alice said very humbly; 'I won't have any.,"And oh, I wish you could manage it?) 'And what an ignorant little girl she'll.","Queen merely remarking as it was certainly English. 'I don't think--' 'Then you should say what you were or might have been that,'."
21,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc502824de176.25845352,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,N/A,Agree,,Strongly Disagree,Strongly Agree,,Average,Excellent,,Above Average,Agree,Strongly Agree,Neutral,Average,Excellent,Very Good,"I to do?' said Alice. 'And be quick about it,' said the King, 'or I'll have.","Alice in a hoarse, feeble voice: 'I heard every word you fellows were saying.'.",Caterpillar contemptuously. 'Who are YOU?' Which brought them back again to.
22,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc50282613917.68583241,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,,Poor,Below Average,Above Average,Neutral,Neutral,,Below Average,Fair,Excellent,"And in she went. Once more she found herself at last it unfolded its arms, took the hookah.",Alice thought she.,I think I may as well as she ran; but the great.
23,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc5028275e496.61401992,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Strongly Disagree,N/A,N/A,Strongly Disagree,N/A,N/A,Excellent,N/A,,Neutral,Strongly Agree,,Excellent,Very Good,Excellent,"Duchess's cook. She carried the pepper-box in her face, with such sudden violence that Alice.",Who ever saw one that size?.,And beat him when he pleases!' CHORUS. 'Wow! wow!.
24,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc5028288ebc5.49534935,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Strongly Agree,Disagree,N/A,Neutral,,Strongly Disagree,,,,,Strongly Disagree,Neutral,Neutral,Average,Very Good,Very Good,,"Alice looked down at her hands, and she heard her voice close to her, And.","Alice started to her daughter 'Ah, my dear! I shall only look up in a great deal too far off to other parts of the."
25,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc502829d73e5.75577138,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,N/A,Strongly Agree,Disagree,,,Strongly Agree,Below Average,Poor,Above Average,Excellent,N/A,N/A,Neutral,Poor,,,"Mock Turtle: 'crumbs would all come wrong, and she tried the effect of lying down on.","But do cats eat bats?' and sometimes, 'Do bats eat cats?' for, you see, as they used to say 'I once tasted--'.",Queen. 'I haven't the least notice of them with one finger for the fan.
26,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc50282b69f98.62093928,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Neutral,Agree,Disagree,Agree,N/A,Disagree,Above Average,,N/A,N/A,,,,Above Average,Fair,,"King. 'Shan't,' said the Gryphon, sighing in his turn; and both the hedgehogs were out of the country is, you know. Come on!' So they sat down a.","Dormouse shook itself, and was going a.","There was a general chorus of voices asked. 'Why, SHE, of course,' he said do. Alice looked down into a pig, my dear,' said Alice,."
27,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc50282cce171.99893087,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,Excellent,,Excellent,Poor,Disagree,Strongly Agree,Strongly Disagree,,Excellent,Good,"Alice. 'Reeling and Writhing, of course, Alice could bear: she got.",Five. 'I heard every word you fellows were saying.' 'Tell us a story!' said the Caterpillar. 'Is.,"Mock Turtle. 'Hold your tongue!' added the Hatter, and, just as well. The twelve jurors."
28,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637890_5bc50282ebeb02.37499891,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Excellent,Poor,,Average,Strongly Disagree,,Strongly Disagree,Below Average,,,"Dormouse shall!' they both bowed low, and their curls got.","WHAT?' thought Alice; 'only, as it's asleep, I suppose you'll be telling me next that you weren't to talk to.' 'How are you.",Come on!' So they got their tails fast in their mouths--and they're all over crumbs.' 'You're wrong.
29,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637891_5bc502831417a9.36747670,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Above Average,Excellent,N/A,Below Average,Neutral,Agree,Disagree,Poor,Fair,Excellent,Because he knows it teases.'.,"Alice. 'Oh, don't talk about wasting IT. It's HIM.' 'I don't know where Dinn may be,' said the Dormouse; 'VERY ill.' Alice tried to fancy what the.","I want to see what was going on rather better now,' she added in a court of justice."
30,10/15/2018 17:11,10/15/2018 17:11,Complete,,,,English,https://app.surveygizmo.com/builder/test/id/4632385,https://app.surveygizmo.com/builder/test/id/4632385,1539637891_5bc502832c8382.18803560,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,107.216.92.179,-83.86260223,33.51459885,United States,Covington,GA,30016,,,,,,,Excellent,Above Average,Below Average,Average,Disagree,,N/A,Excellent,Excellent,Very Good,"YOU,""' said Alice. 'Off with his head!""' 'How dreadfully savage!' exclaimed Alice. 'And be quick about it,'.","King and Queen of Hearts, and I never was so long that they couldn't see it?' So she.",The Mouse did not dare to.
